,Comments,Ratings
0,Awesome,5.0
1,Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.,5.0
2,Good product value for money but ordering is too difficult within one minute soldout,5.0
3,Good mobile,5.0
4,best good product prive battry camera all very good,5.0
5,Good product. Value for money phone. Everything is average. Display is good. Battery life is also good. I bought it for a employee of mine. Overall a good phone. 4/64 combo is hard to find in this price range. Exceeded my expectations.,5.0
6,GOOD,5.0
7,"Best mobile ,best service currior boy",5.0
8,Best mobile under 10000 💖💖💖,5.0
9,"For a price this low along with exchange offer is a winner. No one likes to keep the old phone and buy a new one. If they dont the mobile phones will keep piling at home. I bought this for mywife and she is pretty pleased with the buy.
This is indeed value for money if you keep in mind what are your needs from a phone.",5.0
10,Best,5.0
11,Nice product,5.0
12,"I used to have a Motorola Moto G5S Plus phone as a secondary phone and recently i changed this to Redmi 9. Here are the advantages and disadvantages. This is assembled in India and is a good value for money offering.
Advantages
1) I wanted to replace the phone with the cheaptest entry point phone with a good display. The Redmi offer HD+ not full HD, but it is okay for my usage.
2) The MIUI is extremely pleasing to the eye and gives a good user experience.
3) The ease of set up of Redmi 9 was awesome. It was a dual SIM phone with Volte and 4 G SIM support on both SIM
4) Also we can extend the existing 64 GB storage with upto 512 GB SD card, I have procured another 64 GB storage
5) It has an FM radio thrown in as well.
6) The camera is okay not highly fancy similar to the Redmi 9 Power, but this being a secondary phone I am okay with the overal performance.

Disadvantages
1) The charger is the only mini USB and wish this was a USB C type charge with quick charge.
2) The Wifi detects only 2.4 GHz and not the latest 5GHz hence the overall connectivty speed is low.

For the price point that is 2500 Rs less due to exchange and overall pay out to be around 6150 Rs, this phone is a value for money offering. At the time of buying this was the top phone in the Amazon phone range, but given a choice would have opted for Redmi 9 Power, that had a better feature.",5.0
