,Comments,Ratings
0,"* pro phone
* sound is decent
* look is great
* camera is best part
* super dooper fast charger
* good battery life
* 120 hz work too good lag free
* sound quality is decent
* rapchik gaming experience",4.3
1,"PERFORMANCE :- 4.5/5
RAM CAPACITY :- 4.7/5
STORAGE CAPACITY :- 4.0/5
LIQUID COOLING LAYER :- 4.9/5
BATTERY 🔋 TIMING :- 4.8/5
MOBILE GAMING SPEED :- 4.5/5",4.3
2,"I think this phone is the best in its segment.
But its not all perfect though.
It could have offered more 5g bands and gorilla glass 5 instead of panda glass.
Because i never heard of panda glass before.
I really don't know which one is stronger.",4.3
3,"I have purchased IQOO Z3 on 8 June 2021 in the launch sale and received it today that is 11 June 2021 at the price of Rs 17490. I think it is an apt price to buy for a mid-range buyer. I have initially thought that I would have to shell out Rs 19000 or more for this product. But on receiving the product at the above price range I got extremely delighted.

Though I have received the product today and my usage of 4-5 hour won't reflect the product experience fully. But whatever hour phone was with me. It was a wonderful experience. Right from touch, to OS, or camera everything is phenomenal. I would recommend everyone to go for it. At the above price range it better than even Oneplus CE Nord (though it is my opinion, it can vary for others) Screen though is not Amoled but has a refresh rate of 120 Hz and the UI is extremely fantastic.

I hope you all will find this product a value proposition for you.",4.3
4,"Play Video
 Loved IT 😊❤️❣️",4.3
5,"It's a Good Overall phone with Excellent in Hand feel as it's slim and light weight and packs a good 4400 mah battery which gives pretty amazing battery life and 55w charging is just blazing fast needless to say.

Display size is perfect but notch looks outdated, should have provided in display camera .
There's no amoled but colors are punchy , no complaints and 120 hz is very smooth and well optimised.

Speakers are pretty loud and earpiece is very loud and clear even at 50-60% volume.

Network and wifi quality is also very good.

Cameras are pretty good front n back both.
Even in night they click decent photos.

Processor is excellent and 5G ready , so that's a plus point.

Even the UI has improved a lot now , compared to previous one's this closer to stock android look is amazing and very smooth and fast, liked the vivo ui for 1st time, it's the biggest improvement.

The only con i could figure out is the outdated notch display , rest everything is perfect especially in hand feel.",4.3
6,"Excellent phone! The UI is very good, clean and responsive! The specs are really good at this time considering the specs offered by competition at this price. Display is very good despite being LCD. I personally love the colors & contrast of LCD over contrasty AMOLED panels in this price range and it's totally an individual's choice. Trust me, the display is excellent! Yes, every phone has some cons but it really doesn't matter. No phone can be perfect! Specs wise, this is the best phone to consider right now under 25k after Poco X3 pro. Samsung's GW3 Camera sensor is also good! These days, majority phones are delivering good cameras! I generally use GCAM mods to unleash the camera's true potential. A good overall package in this price!",4.3
7,"1st time to use IQOO brand, never experienced this much feel by using this phone with other brands

Pros:
Excellent camera
Battery back up
Charging time is very less
Display
Weight of phone
Performance
Sound quality
All games easy to handle
No heating issue
Very premium look

Cons:
Out put sound ,it is low
Not found any other major cons,

Overall good phone... Definitely feel good.",4.3
8,I was earlier using one plus 6(6gb ram version) and now upgraded to IQ OOz3 5G 8gb ram version. I can say that there are more pros than cons in this phone...display is great even it is LCD. I am using super amoled earlier but I find this screen comparable. Phone quality is good. Build quality suberb and battery backup great and very fast 55w charging with practical time from 10 percent to 100 percent in less than hour. Cons is speaker whose volume is not so loud but it is clear and videos can be watched easily,4.3
9,"Im one of those who ordered it immediately on the launch.However disappointed with amazon delivary, took 8days to deliver it.Recievedd the mobile with 30% charging which exausted in 3 hrs due to intial process of shifting data. As advertised charged 50%in 19 mins(66 wats flash charger) and later on slowed a bit eventually finishing the charging in 1 hr,Battery heats a little while charging. Screen is butter smooth, bright, refresh rate can be adjusted however i choose smart rate.Finger print reader is absolute fast..Battery easily last for a day or more for a moderate user.Few of the preinstalled apps can be uninstalled.As of now happy with the purchase..only cons found..Fun touch OS and camera.Though not 100% unhappy with camera however im not a ardent user of camera.",4.3
